Chore,Group
emptying recycling bin upstairs on Sunday,Upstairs
emptying recycling bin downstairs on Sunday,Downstairs
sweeping and mopping floor downstairs,Downstairs
cleaning bathroom sink downstairs,Downstairs
cleaning bathroom sink upstairs,Upstairs
cleaning upstairs toilet,Upstairs
cleaning downstairs toilet,Downstairs
"cleaning upstairs shower, raised tiles, wall tiles & shower curtain",Upstairs
"cleaning downstairs shower, shower walls and shower door",Downstairs
emptying upstairs kitchen garbage bin for the week,Upstairs
emptying downstairs kitchen garbage bin for the week,Downstairs
sweeping and mopping upstairs kitchen,Upstairs
sweeping and mopping downstairs kitchen,Downstairs
"buying kitchen items to last the week (glad wrap, Aluminium foil, detergent, paper towel)",Upstairs
"buying kitchen items to last the week (garbage bags, glad wrap, Aluminium foil, detergent, paper towel)",Downstairs
"buying bathroom items to last the week (bleach, toilet paper (minimum 2-ply))",Upstairs
"buying bathroom items to last the week (bleach, toilet paper (minimum 2-ply))",Downstairs
sweeping and mopping upstairs bathroom,Upstairs
sweeping and mopping downstairs bathroom,Downstairs
cleaning the back deck once before Thursday,All
cleaning the back deck once between Friday and Sunday (inclusive),All